dates,woody_savannas_mean,woody_savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,NA,NA
2010-03-30,NA,NA
2010-04-07,NA,NA
2010-04-15,NA,NA
2010-04-23,0.0036,NA
2010-05-01,0.0041,NA
2010-05-09,0.0095,NA
2010-05-17,0.0176,NA
2010-05-25,0.0374,NA
2010-06-02,0.0379,NA
2010-06-10,0.0455,NA
2010-06-18,0.0386,NA
2010-06-26,0.0478,NA
2010-07-04,0.0533,NA
2010-07-12,0.0358,NA
2010-07-20,0.0256,NA
2010-07-28,0.0404,NA
2010-08-05,0.0173,NA
2010-08-13,0.0282,NA
2010-08-21,0.0035,NA
2010-08-29,0.0093,NA
2010-09-06,0.0122,NA
2010-09-14,0.0034,NA
2010-09-22,3e-04,NA
2010-09-30,5e-04,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,NA,NA
2011-03-30,NA,NA
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,NA,NA
2011-05-17,0.0226,NA
2011-05-25,0.0426,NA
2011-06-02,0.0229,NA
2011-06-10,0.0122,NA
2011-06-18,0.0516,NA
2011-06-26,0.048,NA
2011-07-04,0.0408,NA
2011-07-12,0.0111,NA
2011-07-20,0.0436,NA
2011-07-28,0.047,NA
2011-08-05,0.0257,NA
2011-08-13,0.0192,NA
2011-08-21,0.0258,NA
2011-08-29,0.0129,NA
2011-09-06,0.0118,NA
2011-09-14,0.0072,NA
2011-09-22,8e-04,NA
2011-09-30,NA,NA
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,NA,NA
2012-05-16,0.0172,NA
2012-05-24,0.0152,NA
2012-06-01,0.0342,NA
2012-06-09,0.024,NA
2012-06-17,0.0549,NA
2012-06-25,0.0561,NA
2012-07-03,0.0581,NA
2012-07-11,0.0181,NA
2012-07-19,0.0414,NA
2012-07-27,0.0342,NA
2012-08-04,0.0404,NA
2012-08-12,0.0317,NA
2012-08-20,0.0306,NA
2012-08-28,0.009,NA
2012-09-05,0.0086,NA
2012-09-13,0.0087,NA
2012-09-21,0.0074,NA
2012-09-29,0.0011,NA
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,0,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,0.003,NA
2013-05-25,0.0269,NA
2013-06-02,0.0223,NA
2013-06-10,0.037,NA
2013-06-18,0.0529,NA
2013-06-26,0.0541,NA
2013-07-04,0.0382,NA
2013-07-12,0.0298,NA
2013-07-20,0.0408,NA
2013-07-28,0.0481,NA
2013-08-05,0.0486,NA
2013-08-13,0.0095,NA
2013-08-21,0.0083,NA
2013-08-29,0.0157,NA
2013-09-06,0.01,NA
2013-09-14,6e-04,NA
2013-09-22,NA,NA
2013-09-30,6e-04,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,NA,NA
2014-05-01,0.0082,NA
2014-05-09,0.0106,NA
2014-05-17,0.0027,NA
2014-05-25,0.0222,NA
2014-06-02,0.0349,NA
2014-06-10,0.0353,NA
2014-06-18,0.0538,NA
2014-06-26,0.0394,NA
2014-07-04,0.0456,NA
2014-07-12,0.0463,NA
2014-07-20,0.0265,NA
2014-07-28,0.0122,NA
2014-08-05,0.0211,NA
2014-08-13,0.0296,NA
2014-08-21,0.0208,NA
2014-08-29,0.0043,NA
2014-09-06,0.0095,NA
2014-09-14,0.0058,NA
2014-09-22,0.0025,NA
2014-09-30,4e-04,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,NA,NA
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,NA,NA
2015-05-01,NA,NA
2015-05-09,0.0083,NA
2015-05-17,0.0348,NA
2015-05-25,0.0334,NA
2015-06-02,0.0184,NA
2015-06-10,0.0086,NA
2015-06-18,0.0516,NA
2015-06-26,0.0442,NA
2015-07-04,0.0437,NA
2015-07-12,0.0423,NA
2015-07-20,0.0311,NA
2015-07-28,0.011,NA
2015-08-05,0.0314,NA
2015-08-13,0.0235,NA
2015-08-21,0.0101,NA
2015-08-29,9e-04,NA
2015-09-06,0.0089,NA
2015-09-14,5e-04,NA
2015-09-22,2e-04,NA
2015-09-30,3e-04,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,NA,NA
2016-03-21,NA,NA
2016-03-29,NA,NA
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,NA,NA
2016-04-30,0.0025,NA
2016-05-08,0.0167,NA
2016-05-16,0.0153,NA
2016-05-24,0.0214,NA
2016-06-01,0.0175,NA
2016-06-09,0.0399,NA
2016-06-17,0.0431,NA
2016-06-25,0.0492,NA
2016-07-03,0.0454,NA
2016-07-11,0.0526,NA
2016-07-19,0.0367,NA
2016-07-27,0.0256,NA
2016-08-04,0.0189,NA
2016-08-12,0.0257,NA
2016-08-20,0.0224,NA
2016-08-28,0.0107,NA
2016-09-05,0.0079,NA
2016-09-13,0.0018,NA
2016-09-21,0.0051,NA
